1.420509859504758277e+00,2.597437544028548206e+00
1.426963964418763275e+00,2.618378378861530464e+00
1.433729642156912343e+00,2.639131673093904951e+00
1.440448979127942231e+00,2.659858788103510285e+00
1.447442284734969276e+00,2.680317725073200208e+00
1.454559890295931357e+00,2.700463379241164308e+00
1.461945646275488064e+00,2.720264755797287215e+00
1.469632520700324463e+00,2.739800698440062021e+00
1.477592813636349423e+00,2.759119842223848096e+00
1.485757352254166941e+00,2.778232388536799213e+00
1.494147884566002116e+00,2.797077127935062357e+00
1.502760806267552818e+00,2.815621440300116074e+00
1.511655419323545191e+00,2.833807210080292460e+00
1.520776615296547396e+00,2.851585366898339746e+00
1.530130857351680751e+00,2.868967086217411921e+00
1.539875631759147989e+00,2.885861961399661446e+00
1.550036462099168011e+00,2.902165757219353104e+00
1.560614597951559546e+00,2.917908040590128760e+00
1.571497615829798633e+00,2.933025263336071831e+00
1.582682171755718237e+00,2.947453613025437402e+00
1.594153089010202473e+00,2.961236985402335264e+00
1.605885929367831810e+00,2.974431652447986352e+00
1.618096119977579850e+00,2.986912828755840188e+00
1.630686996783064391e+00,2.998802968266843116e+00
1.643595614242552738e+00,3.009879004011442927e+00
1.656769837985211824e+00,3.020196369691493299e+00
1.670225366776781462e+00,3.029673130613667720e+00
1.684058351551348531e+00,3.038280242982085877e+00
1.698220229211298227e+00,3.046019123777973903e+00
1.712649542530555014e+00,3.052942668780532554e+00
1.727299469674844268e+00,3.059144347029298938e+00
1.742226925837319973e+00,3.064706327388486695e+00
1.757515872741568064e+00,3.069717261878906811e+00
1.773088795043020749e+00,3.074090961290784740e+00
1.788896708052337248e+00,3.077829056264172358e+00
1.804869476146114593e+00,3.080756512906309919e+00
1.820888240824970916e+00,3.082878810404299674e+00
1.836914555612968236e+00,3.084215430311417983e+00
1.852905824552886216e+00,3.084882238203658034e+00
1.868819112718537845e+00,3.085013986946173237e+00
1.884787483522485818e+00,3.084538907919298634e+00
1.900726750958656286e+00,3.083517297049321648e+00
1.916636059073282050e+00,3.082052580268151321e+00
1.932543176605417079e+00,3.080174127094354120e+00
1.948371080911138309e+00,3.077923031869351789e+00
1.964122772480811241e+00,3.075273191226539193e+00
1.979791619740869812e+00,3.072335475963666074e+00
1.995303388694613211e+00,3.069165954634207605e+00
2.010708252568668364e+00,3.065787949300712523e+00
2.026034405790432924e+00,3.062270102165079333e+00
2.041286397807728914e+00,3.058635027236026538e+00
2.056420073855584452e+00,3.054896760068483985e+00
2.071501300258554501e+00,3.051118172817069762e+00
2.086601107953535816e+00,3.047356947835873076e+00
2.101690486972338512e+00,3.043622675386986831e+00
2.116799846718049327e+00,3.039976420116877964e+00
2.131923109735579747e+00,3.036469363212460415e+00
2.147074653649873710e+00,3.033180224717113571e+00
2.162178522932979963e+00,3.030188900602306834e+00
2.177466992965652270e+00,3.027589662318391106e+00
2.192817384376090750e+00,3.025373383253978865e+00
2.208231719990061848e+00,3.023582896053574220e+00
2.223738584704502586e+00,3.022304272621613830e+00
2.239311560535719892e+00,3.021579921269505586e+00
2.254862644562833918e+00,3.021421507377864746e+00
2.270419288763367849e+00,3.021880226870245600e+00
2.286033753660120293e+00,3.022917398695361246e+00
2.301679734347407802e+00,3.024423684866726969e+00
2.317393219620505818e+00,3.026331012996854586e+00
2.333217903965766116e+00,3.028595033135283554e+00
2.349116883928088484e+00,3.031166347517036286e+00
2.365030863646783832e+00,3.034055139829583858e+00
2.380945799688570563e+00,3.037344284374697168e+00
2.396827300360969915e+00,3.041127191884725356e+00
2.413049231018110863e+00,3.045465578613399504e+00
2.429224084359844493e+00,3.050341288369695647e+00
2.445685047962275593e+00,3.055794067634288069e+00
2.462381729734790525e+00,3.061832828219158031e+00
2.479283571127715469e+00,3.068342266301469223e+00
2.496325812627117280e+00,3.075228187739804664e+00
2.513670578558316215e+00,3.082419171940697922e+00
2.531382337115076986e+00,3.089871907846104548e+00
2.549385269103438656e+00,3.097556873853196446e+00
2.567648763374482890e+00,3.105520505280221499e+00
2.586209658425579594e+00,3.113766907829306874e+00
2.605019141461563770e+00,3.122181200214387164e+00
2.623914984988713339e+00,3.130695094631251063e+00
2.642883418422526276e+00,3.139291253438678542e+00
2.661928022431592211e+00,3.147937347850664924e+00
2.681184586131247549e+00,3.156614981837673639e+00
2.700618616232641767e+00,3.165340569645372693e+00
2.720562209619749261e+00,3.173676424831246567e+00
2.740976763394142868e+00,3.181506618415817833e+00
2.761598843046543905e+00,3.188900633781341476e+00
2.782461345459825264e+00,3.195823863250934149e+00
2.803513418249488520e+00,3.202311844289262854e+00
2.824770416438571630e+00,3.208351799208275068e+00
2.846140686970377143e+00,3.213912355940493182e+00
2.867470075836357157e+00,3.219096534533405940e+00
2.888725349129723785e+00,3.223942446263440065e+00
2.909906242864088721e+00,3.228408097370357499e+00
2.930991338838217164e+00,3.232409221978970404e+00
2.951853048447171890e+00,3.235862904688438402e+00
2.972345468302764804e+00,3.238688982094653390e+00
2.992414214332262734e+00,3.240857484846766390e+00
3.012034702758254578e+00,3.242420435229004472e+00
3.031185842372722483e+00,3.243483209261198486e+00
3.049922846804751231e+00,3.244115224720570012e+00
3.068247715843469337e+00,3.244348787253770183e+00
3.086181602932449142e+00,3.244226537272929090e+00
3.103795037211908969e+00,3.243796343979822971e+00
3.120879141733680306e+00,3.243000485252683696e+00
3.137490715015729847e+00,3.241884229504638615e+00
3.153611102736190830e+00,3.240456457396112988e+00
3.169172865701583408e+00,3.238712753474986439e+00
3.184210850679054516e+00,3.236700552939436815e+00
3.198691389667396301e+00,3.234426757126576124e+00
3.212589654707532993e+00,3.231918863869446046e+00
3.225928187517822288e+00,3.229191986987205443e+00
3.238664827313251671e+00,3.226269982905366263e+00
3.250796741760713537e+00,3.223155125826987266e+00
3.262297183931705646e+00,3.219870893707323489e+00
3.273181368805619496e+00,3.216440372122759239e+00
3.283442934598345353e+00,3.212865635375877549e+00
3.293052980853036882e+00,3.209171722171155317e+00
3.302051007070744060e+00,3.205399664287602590e+00
