24.7,0.041762,0.16565
24.8,0.041195,0.17063
24.9,0.041119,0.17486
25,0.041226,0.17807
25.1,0.041553,0.18022
25.2,0.040954,0.18187
25.3,0.040375,0.18329
25.4,0.040621,0.18458
25.5,0.041138,0.18546
25.6,0.042709,0.18592
25.7,0.044099,0.18575
25.8,0.044707,0.18499
25.9,0.047055,0.1841
26,0.047991,0.18262
26.1,0.049999,0.18103
26.2,0.052597,0.17933
26.3,0.055669,0.17819
26.4,0.058452,0.17669
26.5,0.062463,0.17513
26.6,0.066104,0.17213
26.7,0.06972,0.16889
26.8,0.073883,0.16534
26.9,0.078532,0.16147
27,0.083155,0.15727
27.1,0.088412,0.15254
27.2,0.09321,0.14742
27.3,0.098311,0.14288
27.4,0.10349,0.13786
27.5,0.10927,0.13368
27.6,0.1157,0.12915
27.7,0.12529,0.12231
27.8,0.13441,0.11552
27.9,0.14324,0.10924
28,0.15119,0.10336
28.1,0.15897,0.099382
28.2,0.16571,0.09317
28.3,0.17183,0.086364
28.4,0.17687,0.079891
28.5,0.18126,0.074344
28.6,0.18484,0.069346
28.7,0.18773,0.064436
28.8,0.19003,0.059267
28.9,0.19151,0.054554
29,0.19238,0.050259
29.1,0.19267,0.045755
29.2,0.19228,0.041821
29.3,0.19132,0.038171
29.4,0.18971,0.034504
29.5,0.18743,0.030102
29.6,0.1846,0.026861
29.7,0.18166,0.02326
29.8,0.17825,0.019435
29.9,0.17432,0.016234
30,0.1696,0.012655
30.1,0.16512,0.0093531
30.2,0.16055,0.0066943
30.3,0.1556,0.0040178
30.4,0.15077,0.0019283
30.5,0.1456,4.5061e-05
30.6,0.14014,-0.0014736
30.7,0.13415,-0.0034933
30.8,0.12778,-0.0053613
30.9,0.12137,-0.0068045
31,0.11537,-0.0075599
31.1,0.10912,-0.0083192
